书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
全职高手,蝴蝶蓝,完本,游戏,359.92,2437.37,2056.82,9.3,9795,    白金 ,6,1461.02万,3544,217,523,19
牧神记,宅猪,连载,玄幻,266.33,1831.91,2056.25,9.1,2407,    白金 ,7,2072.61万,3018,355,3804,13
赘婿,愤怒的香蕉,连载,历史,369.04,1934.13,1693.51,9.2,5145,    大神 ,2,598.69万,1668,250,198,2
异常生物见闻录,远瞳,完本,科幻,172.7,1197.27,1457.79,9.4,2320,    大神 ,3,1491.54万,3240,93,110,1
莽荒纪,我吃西红柿,完本,仙侠,744.75,10359.58,1392.21,9,8026,    白金 ,9,2603.36万,4200,326,74,0
江山美人志,瑞根,完本,玄幻,2019.35,6520.26,1341.62,9,119,    白金 ,6,1144.11万,5037,77,0,0
遮天,辰东,完本,仙侠,91.49,1799.57,1269.35,9.1,8727,    白金 ,6,2443.54万,4245,326,325,2
儒道至圣,永恒之火,连载,玄幻,184.08,516.47,1258.59,9.2,3440,    大神 ,1,714.39万,1479,248,1066,7
完美世界,辰东,完本,玄幻,221.41,1095.32,1220.48,9.2,8782,    白金 ,6,2443.54万,4245,335,369,1
斗破苍穹,天蚕土豆,完本,玄幻,284.97,1282.38,1113.39,8.8,12763,    Lv.5 ,3,1418.46万,2962,326,724,1
随波逐流之一代军师,随波逐流,完本,历史,540.3,880.34,932.71,9.3,91,    Lv.4 ,2,370.51万,487,103,1,0
亵渎,烟雨江南,完本,奇幻,360.15,781.08,914.23,9.2,323,    Lv.4 ,4,409.89万,698,319,1,0
光明纪元,血红,完本,玄幻,204.25,493.66,891.32,9.3,3304,    白金 ,12,3143.95万,4042,326,2,0
重生完美时代,公子不歌,连载,都市,368.58,760.37,886.49,8.8,944,    Lv.5 ,1,549.73万,1073,155,295,1
我是仙凡,百里玺,连载,仙侠,420.43,1128.84,833.73,8.6,367,    大神 ,6,1447.44万,2959,40,89,0
求魔,耳根,完本,仙侠,496.03,3325.52,804.97,9.2,5249,    白金 ,7,2221.20万,3291,326,37,0
锦衣夜行,月关,完本,历史,334.1,9496.7,773.37,9.3,5890,    Lv.5 ,7,2034.71万,3062,326,1,0
恶魔法则,跳舞,完本,玄幻,551.29,1546.58,764.43,9.1,512,    白金 ,9,1707.30万,3357,320,9,0
极品家丁,禹岩,完本,历史,339.19,523.97,759.11,9.2,831,    Lv.5 ,1,320.06万,731,316,48,1
星辰变,我吃西红柿,完本,仙侠,477.04,8535.44,751.2,9.1,770,    白金 ,9,2603.36万,4200,320,194,0
神墓,辰东,完本,玄幻,486.66,2946.62,731.12,9.2,781,    白金 ,6,2443.54万,4245,135,34,1
极道天魔,滚开,连载,仙侠,83.12,529.05,704.36,9,1238,    大神 ,6,1552.61万,2431,93,26,1
最终进化,卷土,连载,科幻,657.34,3050.18,673.03,9.3,3657,    Lv.5 ,4,1570.66万,2719,248,9,0
斗罗大陆,唐家三少,完本,玄幻,280.38,5022.83,672.57,9,1173,    白金 ,19,3995.09万,5039,319,1344,0
武道宗师,爱潜水的乌贼,完本,玄幻,525.76,15212.4,672.21,9,1252,    白金 ,6,1523.31万,2350,157,32,1
醉枕江山,月关,完本,历史,263.53,2535.74,622.18,9.3,4705,    Lv.5 ,7,2034.71万,3062,325,0,0
天醒之路,蝴蝶蓝,连载,玄幻,146.22,2945.11,577.87,9.3,1877,    白金 ,6,1461.02万,3544,155,18,1
神级英雄,大烟缸,完本,游戏,298.96,6518.77,573.51,9.2,1464,    大神 ,4,1036.56万,2334,92,4,0
大道争锋,误道者,完本,仙侠,299.6,5325.47,572.8,9.2,1556,    Lv.5 ,1,752.28万,2528,126,87,3
重生之最强剑神,天运老猫,连载,游戏,243.85,3430.78,561.92,8.8,430,    Lv.5 ,1,574.71万,1400,92,432,2
尘骨,林如渊,连载,玄幻,251.38,283.7,559.27,9,2992,    Lv.5 ,1,122.34万,338,146,23,0
超级怪兽工厂,匣中藏剑,连载,都市,632.32,6387.93,553.95,8.9,632,    大神 ,2,389.05万,1180,92,128,0
冰火魔厨,唐家三少,完本,奇幻,562.38,694.55,549.66,9,260,    白金 ,19,3995.09万,5039,290,48,0
佛本是道,梦入神机,完本,仙侠,523.34,669.27,547.55,9,151,    Lv.5 ,3,592.45万,2022,288,4,0
庆余年,猫腻,完本,历史,417.52,6236.07,535.04,9.2,1016,    白金 ,6,1688.03万,3737,319,103,1
傲剑天下,龙的天下,完本,武侠,192.19,1415.93,529.18,8.4,9,    Lv.1 ,3,149.91万,218,38,0,0
天启之门,跳舞,连载,都市,367.67,3852.92,529.03,9.2,668,    白金 ,9,1707.30万,3357,124,51,3
校花的贴身高手,鱼人二代,连载,都市,220.93,473.87,526.25,8.8,1644,    白金 ,6,3231.23万,4149,93,1155,0
伏天氏,净无痕,连载,玄幻,389.44,1982.98,514.38,9.1,1237,    白金 ,2,925.30万,1511,179,18552,7
猛龙过江,骷髅精灵,连载,游戏,535.01,2483.94,510.03,8.9,37,    白金 ,11,2264.70万,4522,168,2,0
生肖守护神,唐家三少,完本,都市,303.79,2688.39,502.43,9.1,230,    白金 ,19,3995.09万,5039,272,12,1
剑逆苍穹,EK巧克力,完本,玄幻,259.67,3564.56,499.53,9.2,591,    大神 ,11,1610.26万,2295,92,3,0
隐杀,愤怒的香蕉,完本,都市,238.88,550.9,499.02,9,127,    大神 ,2,598.69万,1668,91,2,0
庶子风流,上山打老虎额,完本,历史,98.41,813.38,493.2,9.1,176,    大神 ,8,2377.33万,2859,91,50,0
猎国,跳舞,完本,玄幻,179.04,410.91,485.19,8.9,3355,    白金 ,9,1707.30万,3357,248,2,0
希灵帝国,远瞳,连载,科幻,86.62,173.54,476.95,9.3,1823,    大神 ,3,1491.54万,3240,39,37,0
仙葫,流浪的蛤蟆,完本,仙侠,304.27,2960.89,467.79,8.9,2148,    大神 ,11,1244.37万,2637,215,3,0
韩娱之天王,呓语痴人,完本,都市,222.11,577.18,456.99,9.2,1421,    Lv.5 ,3,1115.40万,2084,71,2,0
纨绔邪皇,开荒,完本,玄幻,182.43,669.12,451.04,9.2,136,    大神 ,7,2173.91万,3746,92,0,0
悍戚,庚新,连载,历史,494.75,2151.93,447.48,9.2,927,    大神 ,12,1777.99万,2986,91,7,0
高手寂寞2,兰帝魅晨,完本,游戏,215.54,1472.76,447.46,9.3,699,    Lv.4 ,10,1502.56万,2728,92,1,0
超级电脑,疯狂冰咆哮,完本,都市,263.73,738.53,445.58,8.6,137,    Lv.3 ,4,574.35万,996,91,2,0
回到过去变成猫,陈词懒调,完本,都市,184.82,2572.14,445.51,9.3,1831,    大神 ,4,717.37万,1564,93,9,1
篡清,天使奥斯卡,完本,历史,377.61,886.91,444.98,9,190,    Lv.4 ,4,788.94万,1303,91,0,0
胜者为王,林海听涛,完本,体育,374.82,3412.18,434.5,9.3,2508,    白金 ,9,3107.13万,4225,319,1,0
暴风法神,余云飞,完本,奇幻,234.86,464.92,432.75,8.9,228,    Lv.5 ,4,889.94万,1647,91,26,0
重生之大涅磐,奥尔良烤鲟鱼堡,连载,都市,273.07,2254.63,422.54,8.9,2549,    大神 ,4,993.04万,2177,91,6,0
许仙志,说梦者,完本,仙侠,298.22,5001.18,421.45,9,2092,    Lv.5 ,2,644.31万,1867,91,40,0
超越轮回,任怨,完本,科幻,319.47,2158.85,415.83,8.7,72,    Lv.5 ,5,1123.09万,3328,40,0,0
首席御医,银河九天,完本,都市,475.68,1199.64,413.17,9.1,2052,    Lv.5 ,2,509.29万,1052,91,45,0
寂灭天骄,高楼大厦,完本,科幻,336.36,831.03,410.61,8.9,901,    白金 ,9,1927.89万,3361,154,2,0
相声大师,唐四方,完本,都市,237.97,1726.63,401.64,9.2,226,    Lv.5 ,2,294.95万,775,70,6,0
大盗贼,泛舟填词,完本,游戏,64.53,1322.23,401.37,9.1,399,    Lv.5 ,2,524.83万,1346,92,81,0
异世界的美食家,李鸿天,完本,玄幻,384.25,1258.86,398.56,8.6,495,    Lv.5 ,3,935.04万,1096,93,91,0
大亨传说,黯然销魂,完本,都市,280.01,2535.23,396.92,7.6,8,    Lv.3 ,13,1879.03万,3469,105,0,0
梦开始于篮球,郁郁林中树,连载,体育,140.42,1973.45,391.87,2,0,    Lv.1 ,1,141.74万,234,164,0,0
恶魔囚笼,颓废龙,连载,游戏,650.93,4240.6,384.2,9.1,463,    Lv.5 ,4,1598.68万,3552,92,58,1
重燃,奥尔良烤鲟鱼堡,连载,都市,292.07,305.83,383.88,8.7,715,    大神 ,4,993.04万,2177,38,296,1
神纹道,发飙的蜗牛,连载,玄幻,143.89,1064.6,382.02,7.7,9,    Lv.5 ,9,1434.39万,2338,216,1,0
全球论剑,网络黑侠,连载,游戏,255.41,1039.49,379.06,9,1108,    Lv.3 ,9,1439.15万,2195,91,4,0
猫痕伤,旭之瑾瑜,连载,短篇,202.63,5730.19,378.41,7.6,8,    Lv.1 ,2,113.06万,407,36,0,0
谜案局中局,小草胖胖,完本,短篇,410.67,2296.12,370.48,7.3,4,    Lv.1 ,15,938.34万,1834,36,0,0
末法王座,庄毕凡,完本,玄幻,450.73,304.49,367.73,8.9,558,    Lv.5 ,2,990.70万,1792,91,0,0
天道图书馆,横扫天涯,连载,玄幻,477.32,3099.56,367.07,8.6,2047,    大神 ,6,1418.90万,2567,355,2091,6
谍变,黯然销魂,完本,都市,411.86,832.52,358.84,7.3,3,    Lv.3 ,13,1879.03万,3469,37,0,0
大王饶命,会说话的肘子,连载,都市,489.55,568.79,353.17,8.9,3668,    大神 ,3,591.16万,982,344,435,2
大国重工,齐橙,连载,都市,108.77,196.71,351.2,8.9,213,    大神 ,6,1182.61万,2182,91,81,2
史上第一混乱,张小花,完本,都市,392.41,2534.89,348.33,9.1,464,    大神 ,6,610.47万,1654,91,9,0
超级浮空城,诸生浮屠,连载,玄幻,209.19,2275.69,344.14,8.8,435,    Lv.5 ,5,523.69万,2261,65,22,0
孺子帝,冰临神下,完本,历史,285.89,3074.68,339.34,9.2,322,    Lv.5 ,6,1277.30万,2098,92,4,1
